timestamp,name,cpu_pct,mem_used,mem_limit,mem_pct,net_in_out,block_io
2026-08-17T22:21:45,hirewise_db,1.31%,51.27MiB,7.604GiB,0.66%,5.86MB,14.9MB,0B,0B
2026-08-17T22:21:52,hirewise_frontend,1.43%,75.65MiB,7.604GiB,0.97%,1.15kB,126B,0B,0B
2026-08-17T22:21:52,hirewise_api,14.34%,148.7MiB,7.604GiB,1.91%,13.2MB,10.5MB,0B,0B
2026-08-17T22:21:52,hirewise_mcp,0.09%,86.99MiB,7.604GiB,1.12%,44.5kB,51.5kB,0B,0B
2026-08-17T22:21:52,hirewise_worker,0.03%,290.2MiB,7.604GiB,3.73%,840kB,891kB,0B,0B
2026-08-17T22:21:52,hirewise_redis,0.31%,11.51MiB,7.604GiB,0.15%,11.6MB,10.8MB,0B,0B
2026-08-17T22:21:52,hirewise_db,0.71%,49.06MiB,7.604GiB,0.63%,6.14MB,15.5MB,0B,0B
2026-08-17T22:21:59,hirewise_frontend,1.48%,75.32MiB,7.604GiB,0.97%,1.15kB,126B,0B,0B
2026-08-17T22:21:59,hirewise_api,9.92%,148.8MiB,7.604GiB,1.91%,14.7MB,11.8MB,0B,0B
2026-08-17T22:21:59,hirewise_mcp,0.08%,87.2MiB,7.604GiB,1.12%,44.8kB,51.9kB,0B,0B
2026-08-17T22:21:59,hirewise_worker,0.05%,290.2MiB,7.604GiB,3.73%,843kB,895kB,0B,0B
2026-08-17T22:21:59,hirewise_redis,0.32%,11.51MiB,7.604GiB,0.15%,11.6MB,10.8MB,0B,0B
2026-08-17T22:21:59,hirewise_db,3.84%,50.72MiB,7.604GiB,0.65%,6.62MB,17.9MB,0B,0B
2026-08-17T22:22:06,hirewise_frontend,1.80%,74.83MiB,7.604GiB,0.96%,1.15kB,126B,0B,0B
2026-08-17T22:22:06,hirewise_api,6.36%,149MiB,7.604GiB,1.91%,15.4MB,12.2MB,0B,0B
2026-08-17T22:22:06,hirewise_mcp,0.08%,89.32MiB,7.604GiB,1.15%,45.1kB,52.3kB,0B,0B
2026-08-17T22:22:06,hirewise_worker,0.03%,290.2MiB,7.604GiB,3.73%,847kB,899kB,0B,0B
2026-08-17T22:22:06,hirewise_redis,0.32%,11.64MiB,7.604GiB,0.15%,11.6MB,10.8MB,0B,0B
2026-08-17T22:22:06,hirewise_db,0.86%,50.99MiB,7.604GiB,0.65%,6.92MB,18.5MB,0B,0B
2026-08-17T22:22:14,hirewise_frontend,2.18%,75.21MiB,7.604GiB,0.97%,1.15kB,126B,0B,0B
2026-08-17T22:22:14,hirewise_api,5.96%,149.3MiB,7.604GiB,1.92%,16MB,12.6MB,0B,0B
2026-08-17T22:22:14,hirewise_mcp,0.10%,89.23MiB,7.604GiB,1.15%,45.1kB,52.3kB,0B,0B
2026-08-17T22:22:14,hirewise_worker,0.03%,290.2MiB,7.604GiB,3.73%,852kB,904kB,0B,0B
2026-08-17T22:22:14,hirewise_redis,0.31%,11.64MiB,7.604GiB,0.15%,11.6MB,10.8MB,0B,0B
2026-08-17T22:22:14,hirewise_db,0.88%,50.9MiB,7.604GiB,0.65%,7.18MB,19.1MB,0B,0B
2026-08-17T22:22:21,hirewise_frontend,1.98%,74.94MiB,7.604GiB,0.96%,1.15kB,126B,0B,0B
2026-08-17T22:22:21,hirewise_api,6.83%,148.9MiB,7.604GiB,1.91%,17.7MB,14MB,0B,0B
2026-08-17T22:22:21,hirewise_mcp,0.10%,89.16MiB,7.604GiB,1.15%,45.4kB,52.7kB,0B,0B
2026-08-17T22:22:21,hirewise_worker,0.02%,290.2MiB,7.604GiB,3.73%,857kB,910kB,0B,0B
2026-08-17T22:22:21,hirewise_redis,0.32%,11.64MiB,7.604GiB,0.15%,11.6MB,10.8MB,0B,0B
2026-08-17T22:22:21,hirewise_db,3.15%,51.11MiB,7.604GiB,0.66%,7.59MB,20.6MB,0B,0B
2026-08-17T22:22:28,hirewise_frontend,1.79%,75.39MiB,7.604GiB,0.97%,1.15kB,126B,0B,0B
2026-08-17T22:22:28,hirewise_api,3.63%,148.6MiB,7.604GiB,1.91%,18.1MB,14.3MB,0B,0B
2026-08-17T22:22:28,hirewise_mcp,0.09%,89.33MiB,7.604GiB,1.15%,45.7kB,53kB,0B,0B
2026-08-17T22:22:28,hirewise_worker,0.17%,290.2MiB,7.604GiB,3.73%,862kB,915kB,0B,0B
2026-08-17T22:22:28,hirewise_redis,0.34%,11.64MiB,7.604GiB,0.15%,11.6MB,10.8MB,0B,0B
2026-08-17T22:22:28,hirewise_db,1.00%,51.17MiB,7.604GiB,0.66%,7.86MB,21.2MB,0B,0B
2026-08-17T22:22:35,hirewise_frontend,1.92%,75.16MiB,7.604GiB,0.97%,1.15kB,126B,0B,0B
2026-08-17T22:22:35,hirewise_api,3.36%,148.6MiB,7.604GiB,1.91%,19.6MB,15.6MB,0B,0B
2026-08-17T22:22:35,hirewise_mcp,6.67%,89.38MiB,7.604GiB,1.15%,46kB,53.4kB,0B,0B
2026-08-17T22:22:35,hirewise_worker,0.12%,290.2MiB,7.604GiB,3.73%,866kB,919kB,0B,0B
2026-08-17T22:22:35,hirewise_redis,0.31%,11.64MiB,7.604GiB,0.15%,11.6MB,10.8MB,0B,0B
2026-08-17T22:22:35,hirewise_db,3.40%,51.19MiB,7.604GiB,0.66%,8.2MB,22.7MB,0B,0B
2026-08-17T22:22:42,hirewise_frontend,1.36%,75.62MiB,7.604GiB,0.97%,1.15kB,126B,0B,0B
2026-08-17T22:22:42,hirewise_api,5.68%,150.6MiB,7.604GiB,1.93%,22MB,17.7MB,0B,0B
2026-08-17T22:22:42,hirewise_mcp,0.08%,89.19MiB,7.604GiB,1.15%,46kB,53.4kB,0B,0B
2026-08-17T22:22:42,hirewise_worker,0.12%,290.2MiB,7.604GiB,3.73%,869kB,923kB,0B,0B
2026-08-17T22:22:42,hirewise_redis,0.30%,11.64MiB,7.604GiB,0.15%,11.6MB,10.8MB,0B,0B
2026-08-17T22:22:42,hirewise_db,0.90%,51.44MiB,7.604GiB,0.66%,8.58MB,24.9MB,0B,0B
2026-08-17T22:22:49,hirewise_frontend,1.78%,75.44MiB,7.604GiB,0.97%,1.15kB,126B,0B,0B
2026-08-17T22:22:49,hirewise_api,9.80%,150.8MiB,7.604GiB,1.94%,24.3MB,19.8MB,0B,0B
2026-08-17T22:22:49,hirewise_mcp,0.08%,89.29MiB,7.604GiB,1.15%,46.3kB,53.8kB,0B,0B
2026-08-17T22:22:49,hirewise_worker,0.10%,290.2MiB,7.604GiB,3.73%,874kB,928kB,0B,0B
2026-08-17T22:22:49,hirewise_redis,0.34%,11.64MiB,7.604GiB,0.15%,11.6MB,10.8MB,0B,0B
2026-08-17T22:22:49,hirewise_db,0.63%,51.21MiB,7.604GiB,0.66%,8.87MB,26.3MB,0B,0B
2026-08-17T22:22:56,hirewise_frontend,1.53%,74.89MiB,7.604GiB,0.96%,1.15kB,126B,0B,0B
2026-08-17T22:22:56,hirewise_api,1.95%,150.5MiB,7.604GiB,1.93%,24.9MB,20.2MB,0B,0B
2026-08-17T22:22:56,hirewise_mcp,0.09%,89.48MiB,7.604GiB,1.15%,46.6kB,54.1kB,0B,0B
2026-08-17T22:22:56,hirewise_worker,0.15%,290.2MiB,7.604GiB,3.73%,878kB,932kB,0B,0B
2026-08-17T22:22:56,hirewise_redis,0.34%,11.64MiB,7.604GiB,0.15%,11.6MB,10.8MB,0B,0B
2026-08-17T22:22:56,hirewise_db,0.00%,51.31MiB,7.604GiB,0.66%,9.26MB,27.7MB,0B,0B
2026-08-17T22:23:04,hirewise_frontend,1.83%,75.49MiB,7.604GiB,0.97%,1.15kB,126B,0B,0B
2026-08-17T22:23:04,hirewise_api,1.35%,150.6MiB,7.604GiB,1.93%,24.9MB,20.2MB,0B,0B
2026-08-17T22:23:04,hirewise_mcp,0.09%,89.21MiB,7.604GiB,1.15%,46.6kB,54.1kB,0B,0B
2026-08-17T22:23:04,hirewise_worker,0.12%,290.2MiB,7.604GiB,3.73%,882kB,937kB,0B,0B
2026-08-17T22:23:04,hirewise_redis,0.37%,11.64MiB,7.604GiB,0.15%,11.6MB,10.8MB,0B,0B
2026-08-17T22:23:04,hirewise_db,0.00%,51.29MiB,7.604GiB,0.66%,9.26MB,27.7MB,0B,0B
2026-08-17T22:23:11,hirewise_frontend,1.80%,75.67MiB,7.604GiB,0.97%,1.15kB,126B,0B,0B
